event_id,event_name,event_type,event_year,GEOID,structures_inspected,structures_affected,structures_minor_damage,structures_major_damage,structures_destroyed,structures_damaged_or_destroyed,residential_structures_destroyed,population_2018,destroyed_structures_per_1000_residents,damaged_or_destroyed_structures_per_1000_residents,destruction_rate_pct
camp_fire,Camp Fire,Wildfire,2018,06007000901,260,9,1,0,29,39,25,2639,10.989011,14.778325,11.1538
camp_fire,Camp Fire,Wildfire,2018,06007001500,5,0,0,0,0,0,0,5636,0.000000,0.000000,0.0000
camp_fire,Camp Fire,Wildfire,2018,06007001600,674,21,2,0,364,387,236,4469,81.449989,86.596554,54.0059
camp_fire,Camp Fire,Wildfire,2018,06007001702,1656,12,2,1,1391,1406,1143,6491,214.296719,216.607611,83.9976
camp_fire,Camp Fire,Wildfire,2018,06007001703,1207,34,4,1,788,827,620,3039,259.295821,272.128990,65.2858
camp_fire,Camp Fire,Wildfire,2018,06007001704,283,13,1,1,115,130,73,3318,34.659433,39.180229,40.6360
camp_fire,Camp Fire,Wildfire,2018,06007001800,3742,95,16,3,3314,3428,2490,5533,598.951744,619.555395,88.5623
camp_fire,Camp Fire,Wildfire,2018,06007001900,2169,84,5,3,1887,1979,1415,3000,629.000000,659.666667,86.9986
camp_fire,Camp Fire,Wildfire,2018,06007002000,3224,88,12,4,2870,2974,2102,5648,508.144476,526.558074,89.0199
camp_fire,Camp Fire,Wildfire,2018,06007002100,2869,104,15,4,2337,2460,1689,4679,499.465698,525.753366,81.4570
camp_fire,Camp Fire,Wildfire,2018,06007002200,3156,70,19,6,2472,2567,1778,5450,453.577982,471.009174,78.3270
camp_fire,Camp Fire,Wildfire,2018,06007002300,3086,66,12,2,2386,2466,1893,5051,472.381707,488.220154,77.3169
camp_fire,Camp Fire,Wildfire,2018,06007002400,1226,27,11,2,829,869,509,4725,175.449735,183.915344,67.6183
camp_fire,Camp Fire,Wildfire,2018,06007002500,67,3,1,0,22,26,10,5568,3.951149,4.669540,32.8358
