event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2022,claims_per_1000_residents,claim_payments_per_capita
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21025920200,1,15486.71,12200.00,0.00,27686.71,27686.71,2147,0.465766,12.90
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21025920301,21,1180960.24,23289.56,0.00,1204249.80,57345.23,2105,9.976247,572.09
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21025920302,17,911141.04,120326.48,0.00,1031467.52,60674.56,1261,13.481364,817.98
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21025920600,5,326470.87,85075.64,0.00,411546.51,82309.30,1689,2.960332,243.66
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21025920700,16,1121556.54,246810.58,0.00,1368367.12,85522.94,1934,8.273009,707.53
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21025920800,7,350885.22,46981.61,0.00,397866.83,56838.12,2736,2.558480,145.42
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21051950100,3,177173.71,19122.88,0.00,196296.59,65432.20,1875,1.600000,104.69
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21051950202,3,23461.89,0.00,0.00,23461.89,7820.63,2827,1.061196,8.30
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920200,1,0.00,0.00,0.00,0.00,0.00,1549,0.645578,0.00
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920500,10,151092.22,849.02,0.00,151941.24,15194.12,2840,3.521127,53.50
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920600,14,345773.80,64965.65,0.00,410739.45,29338.53,2447,5.721291,167.85
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920700,44,1830809.81,361895.10,0.00,2192704.91,49834.20,2310,19.047619,949.22
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920801,9,74058.93,6885.33,0.00,80944.26,8993.81,2637,3.412969,30.70
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920802,17,284732.24,34991.37,0.00,319723.61,18807.27,2078,8.180943,153.86
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071920900,1,0.00,0.00,0.00,0.00,0.00,1778,0.562430,0.00
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071921001,4,22217.38,0.00,0.00,22217.38,5554.35,3537,1.130902,6.28
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21071921002,3,25941.67,275.38,0.00,26217.05,8739.02,3828,0.783699,6.85
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21115960300,1,6189.05,0.00,0.00,6189.05,6189.05,2922,0.342231,2.12
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21115960600,2,10888.47,0.00,0.00,10888.47,5444.23,4223,0.473597,2.58
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21119960100,2,49284.65,18647.81,0.00,67932.46,33966.23,2041,0.979912,33.28
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21119960200,9,583815.74,136618.59,0.00,720434.33,80048.26,3086,2.916397,233.45
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21119960300,34,2596737.15,710623.38,0.00,3307360.53,97275.31,3711,9.161951,891.23
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21119960400,13,394790.28,107148.50,0.00,501938.78,38610.68,2073,6.271105,242.13
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21119960500,3,135592.84,6818.91,0.00,142411.75,47470.58,3371,0.889944,42.25
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21129950300,1,62027.29,6878.75,0.00,68906.04,68906.04,1667,0.599880,41.34
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21131920102,1,1299.56,0.00,0.00,1299.56,1299.56,2356,0.424448,0.55
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21133950100,11,706117.90,149393.10,0.00,855511.00,77773.73,2324,4.733219,368.12
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21133950201,10,542817.38,0.00,0.00,542817.38,54281.74,2610,3.831418,207.98
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21133950202,13,452748.38,64160.83,0.00,516909.21,39762.25,1998,6.506507,258.71
