event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2018,claims_per_1000_residents,claim_payments_per_capita
florence,Hurricane Florence,Hurricane,2018,37001020602,1,0.00,0.00,0.00,0.00,0.00,2533,0.394789,0.00
florence,Hurricane Florence,Hurricane,2018,37001020801,1,1614.15,0.00,0.00,1614.15,1614.15,1610,0.621118,1.00
florence,Hurricane Florence,Hurricane,2018,37001021600,1,12098.79,0.00,0.00,12098.79,12098.79,7550,0.132450,1.60
florence,Hurricane Florence,Hurricane,2018,37001021901,1,3173.58,0.00,0.00,3173.58,3173.58,4561,0.219250,0.70
florence,Hurricane Florence,Hurricane,2018,37005950200,1,26839.07,0.00,0.00,26839.07,26839.07,4075,0.245399,6.59
florence,Hurricane Florence,Hurricane,2018,37013930100,150,2400062.01,351524.85,49895.74,2801482.60,18676.55,5208,28.801843,537.92
florence,Hurricane Florence,Hurricane,2018,37013930200,4,193510.96,0.00,0.00,193510.96,48377.74,6423,0.622762,30.13
florence,Hurricane Florence,Hurricane,2018,37013930300,118,2627844.05,311300.70,134775.00,3073919.75,26050.17,3914,30.148186,785.37
florence,Hurricane Florence,Hurricane,2018,37013930400,28,703762.34,0.00,0.00,703762.34,25134.37,4656,6.013746,151.15
florence,Hurricane Florence,Hurricane,2018,37013930501,256,5822085.25,245494.34,240000.00,6307579.59,24638.98,3936,65.040650,1602.54
florence,Hurricane Florence,Hurricane,2018,37013930502,8,274201.84,5954.42,0.00,280156.26,35019.53,4012,1.994018,69.83
florence,Hurricane Florence,Hurricane,2018,37013930600,60,880250.37,81442.14,0.00,961692.51,16028.21,3467,17.306028,277.38
florence,Hurricane Florence,Hurricane,2018,37013930700,201,2953025.89,161512.56,113592.50,3228130.95,16060.35,2467,81.475476,1308.52
florence,Hurricane Florence,Hurricane,2018,37013930800,93,1223615.94,253845.41,30000.00,1507461.35,16209.26,2726,34.115921,552.99
florence,Hurricane Florence,Hurricane,2018,37013930900,28,242871.62,7221.64,0.00,250093.26,8931.90,4478,6.252791,55.85
florence,Hurricane Florence,Hurricane,2018,37013931000,51,918497.43,163909.58,30000.00,1112407.01,21811.90,5956,8.562794,186.77
florence,Hurricane Florence,Hurricane,2018,37015960300,1,40114.41,0.00,0.00,40114.41,40114.41,3356,0.297974,11.95
florence,Hurricane Florence,Hurricane,2018,37017950100,39,2072026.17,191995.44,63300.00,2327321.61,59674.91,5204,7.494235,447.22
florence,Hurricane Florence,Hurricane,2018,37017950200,7,161206.51,22848.96,0.00,184055.47,26293.64,3226,2.169870,57.05
florence,Hurricane Florence,Hurricane,2018,37017950300,1,11077.98,0.00,0.00,11077.98,11077.98,6577,0.152045,1.68
florence,Hurricane Florence,Hurricane,2018,37017950500,12,665146.29,55270.95,0.00,720417.24,60034.77,6932,1.731102,103.93
florence,Hurricane Florence,Hurricane,2018,37017950600,3,146148.60,31089.70,0.00,177238.30,59079.43,5995,0.500417,29.56
florence,Hurricane Florence,Hurricane,2018,37019020101,2,217840.33,0.00,0.00,217840.33,108920.17,2589,0.772499,84.14
florence,Hurricane Florence,Hurricane,2018,37019020102,2,5899.52,4683.56,0.00,10583.08,5291.54,4524,0.442087,2.34
florence,Hurricane Florence,Hurricane,2018,37019020103,4,7092.92,0.00,0.00,7092.92,1773.23,8420,0.475059,0.84
florence,Hurricane Florence,Hurricane,2018,37019020104,5,35187.58,2333.52,0.00,37521.10,7504.22,6252,0.799744,6.00
florence,Hurricane Florence,Hurricane,2018,37019020201,15,83979.36,14880.23,0.00,98859.59,6590.64,4017,3.734130,24.61
florence,Hurricane Florence,Hurricane,2018,37019020202,10,204174.50,13000.00,0.00,217174.50,21717.45,8097,1.235025,26.82
florence,Hurricane Florence,Hurricane,2018,37019020203,28,2994296.95,880919.08,0.00,3875216.03,138400.57,2674,10.471204,1449.22
florence,Hurricane Florence,Hurricane,2018,37019020204,55,2013888.52,270160.19,0.00,2284048.71,41528.16,6475,8.494208,352.75
florence,Hurricane Florence,Hurricane,2018,37019020303,17,453374.81,115852.05,0.00,569226.86,33483.93,3698,4.597080,153.93
florence,Hurricane Florence,Hurricane,2018,37019020304,72,588504.94,18595.71,0.00,607100.65,8431.95,7592,9.483667,79.97
florence,Hurricane Florence,Hurricane,2018,37019020305,43,554856.58,22758.40,0.00,577614.98,13432.91,2750,15.636364,210.04
florence,Hurricane Florence,Hurricane,2018,37019020306,34,1144177.29,295073.81,0.00,1439251.10,42330.91,2258,15.057573,637.40
florence,Hurricane Florence,Hurricane,2018,37019020307,332,3709453.20,266954.90,0.00,3976408.10,11977.13,234,1418.803419,16993.20
florence,Hurricane Florence,Hurricane,2018,37019020308,41,44546.19,4789.00,0.00,49335.19,1203.30,1721,23.823359,28.67
florence,Hurricane Florence,Hurricane,2018,37019020309,26,144625.03,19167.23,0.00,163792.26,6299.70,3090,8.414239,53.01
florence,Hurricane Florence,Hurricane,2018,37019020310,69,1037447.10,166313.76,0.00,1203760.86,17445.81,2441,28.267104,493.14
florence,Hurricane Florence,Hurricane,2018,37019020402,12,151184.82,36319.85,0.00,187504.67,15625.39,3178,3.775960,59.00
florence,Hurricane Florence,Hurricane,2018,37019020403,5,64864.11,3150.91,0.00,68015.02,13603.00,5191,0.963206,13.10
florence,Hurricane Florence,Hurricane,2018,37019020404,1,5953.56,0.00,0.00,5953.56,5953.56,2876,0.347705,2.07
florence,Hurricane Florence,Hurricane,2018,37019020405,5,14424.27,0.00,0.00,14424.27,2884.85,3303,1.513775,4.37
florence,Hurricane Florence,Hurricane,2018,37019020504,85,744802.19,64419.81,0.00,809222.00,9520.26,1867,45.527584,433.43
florence,Hurricane Florence,Hurricane,2018,37019020505,13,550296.01,28703.61,0.00,578999.62,44538.43,4211,3.087153,137.50
florence,Hurricane Florence,Hurricane,2018,37019020506,1,0.00,0.00,0.00,0.00,0.00,5044,0.198255,0.00
