event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2017,claims_per_1000_residents,claim_payments_per_capita
harvey-2017,Hurricane Harvey,Hurricane,2017,22001960300,1.0,0.0,0.0,0.0,0.0,0.0,3494,0.286205,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22001960800,1.0,0.0,0.0,0.0,0.0,0.0,5147,0.194288,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22001960900,1.0,5307.02,0.0,0.0,5307.02,5307.02,4974,0.201045,1.07
harvey-2017,Hurricane Harvey,Hurricane,2017,22003950100,0.0,0.62,0.02,0.0,0.64,29968.79,4984,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22003950500,1.0,2200.6,0.0,0.0,2200.6,2200.6,8296,0.120540,0.27
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030101,1.0,0.0,0.0,0.0,0.0,0.0,7996,0.125063,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030500,2.0,1441.82,0.0,0.0,1441.82,720.91,8847,0.226065,0.16
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030600,2.0,26993.85,0.0,0.0,26993.85,13496.98,6561,0.304832,4.11
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030900,1.0,30141.66,665.9,0.0,30807.56,30809.26,4475,0.223464,6.88
harvey-2017,Hurricane Harvey,Hurricane,2017,22007050100,0.0,0.03,0.0,0.0,0.04,30809.26,3775,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22007050200,1.0,31754.05,0.0,0.0,31754.05,31754.05,4885,0.204708,6.50
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960100,7.0,77957.02,8644.62,0.0,86601.64,12371.72,6587,1.062699,13.15
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960200,0.028,197.64,0.0,0.0,197.64,7164.79,5120,0.005469,0.04
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960500,0.972,6967.15,0.0,0.0,6967.15,7164.79,5237,0.185602,1.33
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960600,7.002,152053.43,45840.79,0.0,197894.23,28261.65,3636,1.925743,54.43
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960700,1.0,225.98,0.0,0.0,225.98,225.98,8116,0.123213,0.03
harvey-2017,Hurricane Harvey,Hurricane,2017,22017023000,1.0,0.0,0.0,0.0,0.0,0.0,4730,0.211416,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22017023400,1.0,0.0,0.0,0.0,0.0,0.0,6507,0.153681,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000200,2.85,43620.64,4398.52,0.0,48019.16,16849.88,1643,1.734632,29.23
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000300,1.15,2298.7,231.79,0.0,2530.49,2200.08,2179,0.527765,1.16
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000500,1.004,67157.2,1340.47,0.0,68497.67,68239.95,3283,0.305818,20.86
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000600,23.0,487517.32,79980.84,0.0,567498.16,24673.83,7335,3.135651,77.37
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000700,0.0,1.57,0.84,0.0,2.41,17759.59,4667,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000900,2.0,56582.8,0.0,0.0,56582.8,28291.4,3903,0.512426,14.50
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001000,4.0,23993.02,0.0,0.0,23993.02,5998.26,3598,1.111729,6.67
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001100,1.0,0.0,0.0,0.0,0.0,0.0,5045,0.198216,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001201,2.0,2029.77,0.0,0.0,2029.77,1014.88,4934,0.405351,0.41
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001202,1.0,8734.8,0.0,0.0,8734.8,8734.8,3258,0.306937,2.68
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001400,7.0,72440.76,11800.0,0.0,84240.76,12034.39,5476,1.278305,15.38
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001500,7.0,24356.56,0.0,0.0,24356.56,3479.51,1666,4.201681,14.62
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001600,51.0,2003727.71,619313.6,0.0,2623041.31,51432.18,4417,11.546298,593.85
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001700,18.0,636692.12,72236.63,0.0,708928.75,39384.93,9583,1.878326,73.98
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001801,2.0,33504.46,0.0,0.0,33504.46,16752.23,10455,0.191296,3.20
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001901,1.0,1370.37,0.0,0.0,1370.37,1370.37,3611,0.276932,0.38
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001903,3.0,1825.58,0.0,0.0,1825.58,608.53,6685,0.448766,0.27
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002000,50.0,2289786.88,309157.89,0.0,2598944.77,51979.0,9546,5.237796,272.25
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002100,17.0,740616.46,118221.25,0.0,858837.72,50519.76,3238,5.250154,265.24
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002201,32.0,679669.23,95438.04,0.0,775107.27,24222.1,8876,3.605228,87.33
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002203,2.0,52473.19,0.78,0.0,52473.97,26232.53,6899,0.289897,7.61
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002204,15.0,167010.55,34400.58,0.0,201411.13,13427.71,5592,2.682403,36.02
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002300,10.999,260545.07,110150.32,0.0,370695.39,33702.77,2670,4.119476,138.84
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002500,14.0,244375.85,103256.12,0.0,347631.97,24830.86,3716,3.767492,93.55
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002600,3.0,49546.68,0.0,0.0,49546.68,16515.56,4745,0.632244,10.44
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002700,12.957,423986.71,99323.9,0.0,523310.61,40387.95,7590,1.707115,68.95
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003000,0.985,0.0,0.0,0.0,0.0,0.0,4786,0.205809,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003102,0.012,399.55,91.44,0.0,490.99,41292.66,2248,0.005338,0.22
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003200,1.029,12548.11,6383.07,0.0,18931.18,18406.15,2079,0.494949,9.11
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003300,0.013,4.55,0.53,0.0,5.08,403.18,5284,0.002460,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003400,12.955,298492.54,34835.26,0.0,333327.8,25728.96,5624,2.303521,59.27
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003500,1.034,1603.67,90.57,0.0,1694.24,1639.03,3487,0.296530,0.49
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003600,36.011,1243118.22,291586.0,0.0,1534704.22,42618.19,4552,7.911028,337.15
harvey-2017,Hurricane Harvey,Hurricane,2017,22019980000,1.0,500000.0,113860.64,0.0,613860.64,613860.64,,,
harvey-2017,Hurricane Harvey,Hurricane,2017,22023970100,2.0,13970.62,1526.57,0.0,15497.19,7748.66,5167,0.387072,3.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22029000100,1.0,0.0,0.0,0.0,0.0,0.0,2145,0.466200,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000100,0.0,0.0,0.0,0.0,0.0,0.0,2020,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000200,1.0,0.0,0.0,0.0,0.0,0.0,6455,0.154919,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000400,0.0,0.0,0.0,0.0,0.0,0.0,2917,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000701,1.0,0.0,0.0,0.0,0.0,0.0,2328,0.429553,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033003400,1.0,0.0,0.0,0.0,0.0,0.0,6449,0.155063,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033003501,1.0,0.0,0.0,0.0,0.0,0.0,3132,0.319285,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033004014,1.0,0.0,0.0,0.0,0.0,0.0,11275,0.088692,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22033004204,1.0,0.0,8939.01,0.0,8939.01,8939.01,4395,0.227531,2.03
harvey-2017,Hurricane Harvey,Hurricane,2017,22033004504,1.0,0.0,0.0,0.0,0.0,0.0,5995,0.166806,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22039950300,0.0,0.0,0.0,0.0,0.0,0.0,4951,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030301,0.999,4442.27,1860.21,0.0,6302.48,6306.64,3931,0.254134,1.60
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030302,1.001,1012.81,1.23,0.0,1014.04,1013.37,6366,0.157242,0.16
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030600,1.0,12984.76,0.0,0.0,12984.76,12984.76,6526,0.153233,1.99
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030700,1.0,0.0,0.0,0.0,0.0,0.0,3945,0.253485,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22045031100,2.0,64779.33,4435.15,0.0,69214.48,34607.24,4891,0.408914,14.15
harvey-2017,Hurricane Harvey,Hurricane,2017,22045031200,1.0,0.0,0.0,0.0,0.0,0.0,3145,0.317965,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22047953000,0.0,1.62,0.04,0.0,1.66,30809.26,2270,0.000000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22051020203,1.0,0.0,0.0,0.0,0.0,0.0,8127,0.123047,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22051020301,1.0,0.0,0.0,0.0,0.0,0.0,3663,0.273000,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22051022302,1.0,1510.9,0.0,0.0,1510.9,1510.9,1842,0.542888,0.82
harvey-2017,Hurricane Harvey,Hurricane,2017,22051023500,1.0,0.0,0.0,0.0,0.0,0.0,4124,0.242483,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22051023700,1.0,58.0,0.0,0.0,58.0,58.0,2016,0.496032,0.03
harvey-2017,Hurricane Harvey,Hurricane,2017,22051023903,1.0,12497.6,0.0,0.0,12497.6,12497.6,2281,0.438404,5.48
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025001,0.011,0.0,0.0,0.0,0.0,0.0,8030,0.001370,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025102,0.042,0.0,0.0,0.0,0.0,0.0,4120,0.010194,0.00
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025103,0.943,0.0,0.0,0.0,0.0,0.0,3821,0.246794,0.00
