event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2022,claims_per_1000_residents,claim_payments_per_capita
ian,Hurricane Ian,Hurricane,2022,12001001907,1,0.00,0.00,0.00,0.00,0.00,2735,0.365631,0.00
ian,Hurricane Ian,Hurricane,2022,12005002703,1,0.00,0.00,0.00,0.00,0.00,3562,0.280741,0.00
ian,Hurricane Ian,Hurricane,2022,12005002713,1,0.00,0.00,0.00,0.00,0.00,1224,0.816993,0.00
ian,Hurricane Ian,Hurricane,2022,12009060103,4,321508.35,65336.74,0.00,386845.09,96711.27,2446,1.635323,158.15
ian,Hurricane Ian,Hurricane,2022,12009060104,4,107750.16,15386.03,0.00,123136.19,30784.05,1504,2.659574,81.87
ian,Hurricane Ian,Hurricane,2022,12009060105,2,69692.52,2573.17,0.00,72265.69,36132.85,2534,0.789266,28.52
ian,Hurricane Ian,Hurricane,2022,12009060106,1,0.00,0.00,0.00,0.00,0.00,1632,0.612745,0.00
ian,Hurricane Ian,Hurricane,2022,12009060201,3,407021.21,127249.23,0.00,534270.44,178090.15,2483,1.208216,215.17
ian,Hurricane Ian,Hurricane,2022,12009060400,1,4271.05,0.00,0.00,4271.05,4271.05,4385,0.228050,0.97
ian,Hurricane Ian,Hurricane,2022,12009060500,2,5282.55,0.00,0.00,5282.55,2641.28,5067,0.394711,1.04
ian,Hurricane Ian,Hurricane,2022,12009061001,3,44006.04,4859.90,0.00,48865.94,16288.65,6411,0.467946,7.62
ian,Hurricane Ian,Hurricane,2022,12009061201,3,32300.12,12087.86,0.00,44387.98,14795.99,8085,0.371058,5.49
ian,Hurricane Ian,Hurricane,2022,12009061202,5,124507.13,16235.17,0.00,140742.30,28148.46,3510,1.424501,40.10
ian,Hurricane Ian,Hurricane,2022,12009062112,3,34557.40,0.00,0.00,34557.40,11519.13,1223,2.452984,28.26
ian,Hurricane Ian,Hurricane,2022,12009062113,1,29729.39,0.00,0.00,29729.39,29729.39,6111,0.163639,4.86
ian,Hurricane Ian,Hurricane,2022,12009062402,1,9279.57,0.00,0.00,9279.57,9279.57,5525,0.180995,1.68
ian,Hurricane Ian,Hurricane,2022,12009062500,2,121358.49,84891.60,0.00,206250.09,103125.05,3989,0.501379,51.70
ian,Hurricane Ian,Hurricane,2022,12009062600,1,10376.96,0.00,0.00,10376.96,10376.96,2950,0.338983,3.52
ian,Hurricane Ian,Hurricane,2022,12009063000,1,7841.52,0.00,0.00,7841.52,7841.52,4284,0.233427,1.83
ian,Hurricane Ian,Hurricane,2022,12009063105,2,8247.21,337.13,0.00,8584.34,4292.17,9709,0.205994,0.88
ian,Hurricane Ian,Hurricane,2022,12009063106,1,0.00,0.00,0.00,0.00,0.00,5540,0.180505,0.00
ian,Hurricane Ian,Hurricane,2022,12009063108,1,0.00,0.00,0.00,0.00,0.00,5701,0.175408,0.00
