event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2021,claims_per_1000_residents,claim_payments_per_capita
ida,Hurricane Ida,Hurricane,2021,22001960501,1,0.00,0.00,0.00,0.00,0.00,3135,0.318979,0.00
ida,Hurricane Ida,Hurricane,2021,22005030102,1,0.00,0.00,0.00,0.00,0.00,4637,0.215657,0.00
ida,Hurricane Ida,Hurricane,2021,22005030104,2,0.00,0.00,0.00,0.00,0.00,3714,0.538503,0.00
ida,Hurricane Ida,Hurricane,2021,22005030105,1,0.00,0.00,0.00,0.00,0.00,6287,0.159058,0.00
ida,Hurricane Ida,Hurricane,2021,22005030106,4,0.00,0.00,0.00,0.00,0.00,1974,2.026342,0.00
ida,Hurricane Ida,Hurricane,2021,22005030107,2,19122.18,0.00,0.00,19122.18,9561.09,3220,0.621118,5.94
ida,Hurricane Ida,Hurricane,2021,22005030207,1,0.00,0.00,0.00,0.00,0.00,5772,0.173250,0.00
ida,Hurricane Ida,Hurricane,2021,22005030209,4,0.00,0.00,0.00,0.00,0.00,2481,1.612253,0.00
ida,Hurricane Ida,Hurricane,2021,22005030212,1,0.00,0.00,0.00,0.00,0.00,8076,0.123824,0.00
ida,Hurricane Ida,Hurricane,2021,22005030215,2,6670.33,0.00,0.00,6670.33,3335.16,4426,0.451875,1.51
ida,Hurricane Ida,Hurricane,2021,22005030302,13,73045.25,135.51,0.00,73180.76,5629.29,6010,2.163062,12.18
ida,Hurricane Ida,Hurricane,2021,22005030303,2,0.00,0.00,0.00,0.00,0.00,4091,0.488878,0.00
ida,Hurricane Ida,Hurricane,2021,22005030304,1,0.00,0.00,0.00,0.00,0.00,3290,0.303951,0.00
ida,Hurricane Ida,Hurricane,2021,22005030403,1,0.00,0.00,0.00,0.00,0.00,2289,0.436872,0.00
ida,Hurricane Ida,Hurricane,2021,22005030404,2,2444.03,0.00,0.00,2444.03,1222.02,2665,0.750469,0.92
ida,Hurricane Ida,Hurricane,2021,22005030405,5,12757.65,2182.74,0.00,14940.39,2988.08,4697,1.064509,3.18
ida,Hurricane Ida,Hurricane,2021,22005030406,5,0.00,0.00,0.00,0.00,0.00,4559,1.096732,0.00
ida,Hurricane Ida,Hurricane,2021,22005030501,2,9507.06,0.00,0.00,9507.06,4753.53,3101,0.644953,3.07
ida,Hurricane Ida,Hurricane,2021,22005030502,1,0.00,0.00,0.00,0.00,0.00,2137,0.467946,0.00
