event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2018,claims_per_1000_residents,claim_payments_per_capita
michael,Hurricane Michael,Hurricane,2018,12005000201,3,20793.41,0.00,0.00,20793.41,6931.14,5006,0.599281,4.15
michael,Hurricane Michael,Hurricane,2018,12005000202,35,575351.17,66604.18,0.00,641955.35,18341.58,6060,5.775578,105.93
michael,Hurricane Michael,Hurricane,2018,12005000300,6,26438.51,0.00,0.00,26438.51,4406.42,7326,0.819001,3.61
michael,Hurricane Michael,Hurricane,2018,12005000400,26,191365.17,25661.81,0.00,217026.98,8347.19,8874,2.929908,24.46
michael,Hurricane Michael,Hurricane,2018,12005000500,57,903452.63,112696.61,0.00,1016149.24,17827.18,6672,8.543165,152.30
michael,Hurricane Michael,Hurricane,2018,12005000600,860,79302866.77,15837419.90,599420.46,95739707.13,111325.24,1548,555.555556,61847.36
michael,Hurricane Michael,Hurricane,2018,12005000700,3,0.00,0.00,0.00,0.00,0.00,3374,0.889152,0.00
michael,Hurricane Michael,Hurricane,2018,12005000803,8,79011.65,20005.65,0.00,99017.30,12377.16,5942,1.346348,16.66
michael,Hurricane Michael,Hurricane,2018,12005000804,18,42101.48,8938.76,0.00,51040.24,2835.57,2116,8.506616,24.12
michael,Hurricane Michael,Hurricane,2018,12005000805,10,0.00,0.00,0.00,0.00,0.00,4632,2.158895,0.00
michael,Hurricane Michael,Hurricane,2018,12005000806,84,1192771.58,120104.53,0.00,1312876.11,15629.48,3913,21.466905,335.52
michael,Hurricane Michael,Hurricane,2018,12005000900,81,1926515.11,146724.55,0.00,2073239.66,25595.55,4488,18.048128,461.95
michael,Hurricane Michael,Hurricane,2018,12005001100,17,120271.88,38458.51,0.00,158730.39,9337.08,4886,3.479329,32.49
michael,Hurricane Michael,Hurricane,2018,12005001200,13,187237.99,8712.44,0.00,195950.43,15073.11,3378,3.848431,58.01
michael,Hurricane Michael,Hurricane,2018,12005001301,50,642038.82,129257.74,0.00,771296.56,15425.93,5620,8.896797,137.24
michael,Hurricane Michael,Hurricane,2018,12005001302,86,1600712.24,134287.70,12699.00,1747698.94,20322.08,6634,12.963521,263.45
michael,Hurricane Michael,Hurricane,2018,12005001402,123,2024819.02,646660.24,0.00,2671479.26,21719.34,7385,16.655383,361.74
michael,Hurricane Michael,Hurricane,2018,12005001403,81,2020252.00,271011.28,23725.00,2314988.28,28580.10,2158,37.534754,1072.75
michael,Hurricane Michael,Hurricane,2018,12005001404,130,2284757.95,430136.61,0.00,2714894.56,20883.80,7717,16.845925,351.81
michael,Hurricane Michael,Hurricane,2018,12005001501,79,1341007.80,292023.72,0.00,1633031.52,20671.29,5401,14.626921,302.36
michael,Hurricane Michael,Hurricane,2018,12005001502,93,2967176.85,635140.07,0.00,3602316.92,38734.59,6654,13.976555,541.38
michael,Hurricane Michael,Hurricane,2018,12005001600,7,104092.53,0.00,0.00,104092.53,14870.36,3289,2.128306,31.65
michael,Hurricane Michael,Hurricane,2018,12005001700,4,0.00,0.00,0.00,0.00,0.00,2854,1.401542,0.00
