event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2012,claims_per_1000_residents,claim_payments_per_capita
sandy,Hurricane Sandy,Hurricane,2012,34001000100,345,15215247.67,1012214.68,757600.00,16985062.35,49232.06,2543,135.666536,6679.14
sandy,Hurricane Sandy,Hurricane,2012,34001000200,598,8651125.16,360912.17,505000.00,9517037.33,15914.78,3547,168.593177,2683.12
sandy,Hurricane Sandy,Hurricane,2012,34001000300,577,12730041.76,479276.95,156980.40,13366299.11,23165.16,4149,139.069655,3221.57
sandy,Hurricane Sandy,Hurricane,2012,34001000400,441,386942.68,9307.31,0.00,396249.99,898.53,3228,136.617100,122.75
sandy,Hurricane Sandy,Hurricane,2012,34001000500,296,9318320.85,290163.91,739600.00,10348084.76,34959.75,3258,90.853284,3176.21
sandy,Hurricane Sandy,Hurricane,2012,34001001100,157,3398889.23,220844.80,150000.00,3769734.03,24011.04,1942,80.844490,1941.16
sandy,Hurricane Sandy,Hurricane,2012,34001001200,386,8353539.58,1069000.60,180000.00,9602540.18,24877.05,2994,128.924516,3207.26
sandy,Hurricane Sandy,Hurricane,2012,34001001300,421,12762598.29,872103.66,900000.00,14534701.95,34524.23,2215,190.067720,6561.94
sandy,Hurricane Sandy,Hurricane,2012,34001001400,308,7160851.00,319492.20,240000.00,7720343.20,25066.05,4227,72.864916,1826.44
sandy,Hurricane Sandy,Hurricane,2012,34001001500,60,2002982.66,272086.39,0.00,2275069.05,37917.82,1064,56.390977,2138.22
sandy,Hurricane Sandy,Hurricane,2012,34001001900,33,839475.37,7761.95,0.00,847237.32,25673.86,1748,18.878719,484.69
sandy,Hurricane Sandy,Hurricane,2012,34001002300,173,5431148.74,77009.41,773342.09,6281500.24,36309.25,2471,70.012141,2542.09
sandy,Hurricane Sandy,Hurricane,2012,34001002400,74,1412507.16,55815.07,0.00,1468322.23,19842.19,2369,31.236809,619.81
sandy,Hurricane Sandy,Hurricane,2012,34001002500,267,4104135.86,307924.81,57800.00,4469860.67,16741.05,3925,68.025478,1138.82
sandy,Hurricane Sandy,Hurricane,2012,34001010101,1787,51261568.08,5265004.26,5477737.62,62004309.96,34697.43,3415,523.279649,18156.46
sandy,Hurricane Sandy,Hurricane,2012,34001010102,755,18287157.16,2187442.23,1756011.72,22230611.11,29444.52,1850,408.108108,12016.55
sandy,Hurricane Sandy,Hurricane,2012,34001010104,573,3361682.47,162541.27,156163.11,3680386.85,6423.01,1616,354.579208,2277.47
sandy,Hurricane Sandy,Hurricane,2012,34001010105,306,3971497.55,175429.22,134300.00,4281226.77,13990.94,2741,111.638088,1561.92
sandy,Hurricane Sandy,Hurricane,2012,34001010200,30,679958.44,78015.45,30000.00,787973.89,26265.80,5782,5.188516,136.28
sandy,Hurricane Sandy,Hurricane,2012,34001010300,11,815957.62,98050.23,0.00,914007.85,83091.62,2587,4.252029,353.31
sandy,Hurricane Sandy,Hurricane,2012,34001010403,1,1107.17,0.00,0.00,1107.17,1107.17,6403,0.156177,0.17
sandy,Hurricane Sandy,Hurricane,2012,34001010501,41,2001336.50,175486.01,330000.00,2506822.51,61142.01,6897,5.944614,363.47
sandy,Hurricane Sandy,Hurricane,2012,34001010505,1,14115.48,12800.00,0.00,26915.48,26915.48,2717,0.368053,9.91
sandy,Hurricane Sandy,Hurricane,2012,34001010506,4,17827.27,0.00,0.00,17827.27,4456.82,4906,0.815328,3.63
