event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2021,claims_per_1000_residents,claim_payments_per_capita
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47043060402,1,15902.99,2827.29,0.00,18730.28,18730.28,7106,0.140726,2.64
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47043060501,4,652978.87,6586.48,0.00,659565.35,164891.34,6229,0.642158,105.89
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47043060700,2,28638.13,18352.83,0.00,46990.96,23495.48,4522,0.442282,10.39
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47081950201,6,459841.48,103465.58,0.00,563307.06,93884.51,3752,1.599147,150.14
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47081950302,4,108267.20,2729.97,0.00,110997.17,27749.29,4365,0.916380,25.43
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47081950500,11,2520776.54,497043.62,30000.00,3047820.16,277074.56,2768,3.973988,1101.09
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47083120100,1,12751.25,0.00,0.00,12751.25,12751.25,3103,0.322269,4.11
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47083120200,4,397416.40,45230.08,0.00,442646.48,110661.62,2490,1.606426,177.77
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47085130100,2,84768.88,0.00,0.00,84768.88,42384.44,5925,0.337553,14.31
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47085130300,94,10032560.00,1384441.58,0.00,11417001.58,121457.46,5419,17.346374,2106.85
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47161110700,1,15006.09,0.00,0.00,15006.09,15006.09,4220,0.236967,3.56
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47165021009,1,553.97,0.00,0.00,553.97,553.97,5899,0.169520,0.09
tennessee_flooding_2021,2021 Tennessee Flooding,Flood,2021,47187050503,1,26395.72,0.00,0.00,26395.72,26395.72,5987,0.167029,4.41
