event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim
harvey-2017,Hurricane Harvey,Hurricane,2017,22001960300,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22001960800,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22001960900,1.0,5307.02,0.0,0.0,5307.02,5307.02
harvey-2017,Hurricane Harvey,Hurricane,2017,22003950100,0.0,0.62,0.02,0.0,0.64,29968.79
harvey-2017,Hurricane Harvey,Hurricane,2017,22003950500,1.0,2200.6,0.0,0.0,2200.6,2200.6
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030101,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030500,2.0,1441.82,0.0,0.0,1441.82,720.91
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030600,2.0,26993.85,0.0,0.0,26993.85,13496.98
harvey-2017,Hurricane Harvey,Hurricane,2017,22005030900,1.0,30141.66,665.9,0.0,30807.56,30809.26
harvey-2017,Hurricane Harvey,Hurricane,2017,22007050100,0.0,0.03,0.0,0.0,0.04,30809.26
harvey-2017,Hurricane Harvey,Hurricane,2017,22007050200,1.0,31754.05,0.0,0.0,31754.05,31754.05
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960100,7.0,77957.02,8644.62,0.0,86601.64,12371.72
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960200,0.028,197.64,0.0,0.0,197.64,7164.79
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960500,0.972,6967.15,0.0,0.0,6967.15,7164.79
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960600,7.002,152053.43,45840.79,0.0,197894.23,28261.65
harvey-2017,Hurricane Harvey,Hurricane,2017,22011960700,1.0,225.98,0.0,0.0,225.98,225.98
harvey-2017,Hurricane Harvey,Hurricane,2017,22017023000,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22017023400,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000200,2.85,43620.64,4398.52,0.0,48019.16,16849.88
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000300,1.15,2298.7,231.79,0.0,2530.49,2200.08
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000500,1.004,67157.2,1340.47,0.0,68497.67,68239.95
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000600,23.0,487517.32,79980.84,0.0,567498.16,24673.83
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000700,0.0,1.57,0.84,0.0,2.41,17759.59
harvey-2017,Hurricane Harvey,Hurricane,2017,22019000900,2.0,56582.8,0.0,0.0,56582.8,28291.4
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001000,4.0,23993.02,0.0,0.0,23993.02,5998.26
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001100,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001201,2.0,2029.77,0.0,0.0,2029.77,1014.88
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001202,1.0,8734.8,0.0,0.0,8734.8,8734.8
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001400,7.0,72440.76,11800.0,0.0,84240.76,12034.39
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001500,7.0,24356.56,0.0,0.0,24356.56,3479.51
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001600,51.0,2003727.71,619313.6,0.0,2623041.31,51432.18
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001700,18.0,636692.12,72236.63,0.0,708928.75,39384.93
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001801,2.0,33504.46,0.0,0.0,33504.46,16752.23
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001901,1.0,1370.37,0.0,0.0,1370.37,1370.37
harvey-2017,Hurricane Harvey,Hurricane,2017,22019001903,3.0,1825.58,0.0,0.0,1825.58,608.53
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002000,50.0,2289786.88,309157.89,0.0,2598944.77,51979.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002100,17.0,740616.46,118221.25,0.0,858837.72,50519.76
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002201,32.0,679669.23,95438.04,0.0,775107.27,24222.1
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002203,2.0,52473.19,0.78,0.0,52473.97,26232.53
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002204,15.0,167010.55,34400.58,0.0,201411.13,13427.71
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002300,10.999,260545.07,110150.32,0.0,370695.39,33702.77
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002500,14.0,244375.85,103256.12,0.0,347631.97,24830.86
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002600,3.0,49546.68,0.0,0.0,49546.68,16515.56
harvey-2017,Hurricane Harvey,Hurricane,2017,22019002700,12.957,423986.71,99323.9,0.0,523310.61,40387.95
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003000,0.985,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003102,0.012,399.55,91.44,0.0,490.99,41292.66
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003200,1.029,12548.11,6383.07,0.0,18931.18,18406.15
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003300,0.013,4.55,0.53,0.0,5.08,403.18
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003400,12.955,298492.54,34835.26,0.0,333327.8,25728.96
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003500,1.034,1603.67,90.57,0.0,1694.24,1639.03
harvey-2017,Hurricane Harvey,Hurricane,2017,22019003600,36.011,1243118.22,291586.0,0.0,1534704.22,42618.19
harvey-2017,Hurricane Harvey,Hurricane,2017,22019980000,1.0,500000.0,113860.64,0.0,613860.64,613860.64
harvey-2017,Hurricane Harvey,Hurricane,2017,22023970100,2.0,13970.62,1526.57,0.0,15497.19,7748.66
harvey-2017,Hurricane Harvey,Hurricane,2017,22029000100,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000100,0.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000200,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000400,0.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033000701,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033003400,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033003501,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033004014,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22033004204,1.0,0.0,8939.01,0.0,8939.01,8939.01
harvey-2017,Hurricane Harvey,Hurricane,2017,22033004504,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22039950300,0.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030301,0.999,4442.27,1860.21,0.0,6302.48,6306.64
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030302,1.001,1012.81,1.23,0.0,1014.04,1013.37
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030600,1.0,12984.76,0.0,0.0,12984.76,12984.76
harvey-2017,Hurricane Harvey,Hurricane,2017,22045030700,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22045031100,2.0,64779.33,4435.15,0.0,69214.48,34607.24
harvey-2017,Hurricane Harvey,Hurricane,2017,22045031200,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22047953000,0.0,1.62,0.04,0.0,1.66,30809.26
harvey-2017,Hurricane Harvey,Hurricane,2017,22051020203,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051020301,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051022302,1.0,1510.9,0.0,0.0,1510.9,1510.9
harvey-2017,Hurricane Harvey,Hurricane,2017,22051023500,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051023700,1.0,58.0,0.0,0.0,58.0,58.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051023903,1.0,12497.6,0.0,0.0,12497.6,12497.6
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025001,0.011,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025102,0.042,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025103,0.943,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051025104,0.004,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051027703,0.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051027804,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051027809,0.001,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051027812,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22051028000,0.999,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22053000200,3.0,87072.9,2840.19,0.0,89913.09,29970.43
harvey-2017,Hurricane Harvey,Hurricane,2017,22055000700,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22055001401,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,22055001402,1.0,7235.47,0.0,0.0,7235.47,7235.47
harvey-2017,Hurricane Harvey,Hurricane,2017,22055001410,2.0,17461.01,4538.73,0.0,21999.74,10999.87
harvey-2017,Hurricane Harvey,Hurricane,2017,22055001801,2.0,470.96,0.0,0.0,470.96,235.48
harvey-2017,Hurricane Harvey,Hurricane,2017,22055001905,1.0,5772.62,0.0,0.0,5772.62,5772.62
harvey-2017,Hurricane Harvey,Hurricane,2017,22055002002,1.0,83402.38,0.0,0.0,83402.38,83402.38
harvey-2017,Hurricane Harvey,Hurricane,2017,22055002101,1.0,4071.18,0.0,0.0,4071.18,4071.18
harvey-2017,Hurricane Harvey,Hurricane,2017,22057020100,1.0,11639.74,0.0,0.0,11639.74,11639.74
harvey-2017,Hurricane Harvey,Hurricane,2017,22057020500,0.999,0.0,0.0,0.0,0.0,0.0
